"ΩÈÓ˛∑ØΩ˛            ","Snowboard Kids"
"-Á+&#129;É-&#129;  ","Snowboard Kids"
"·2˘¸Ò8y)±tuêÖy7‡ı]π9","Star Craft 64 Beta"
"ΩΩÚ!‡≤æ˝ÍﬂΩ˛˘‡˛Ô    ","Sunsume ! Taisen Puzzle Dama"
"Ω∞Íﬂ∞˚Ó˛Ø‰‡≤æ˝64    ","Super Robot Wars"
"˝Â„˛‡Ô∫˛Ø·¸∞˘‰˛    ","Tamagotchi 64"
"j^0a,y l_[z=x]8^ 64 ","Virtual Pro Wrestling"
"Í˛∞·¨˘ Ïﬂ˚˙Ω¯˝∏˛ 64 ","Virtual Pro Wrestling"
"Í˛∞·¨˘ Ïﬂ˚˙Ω 2      ","Virtual Pro Wrestling 2"
"Ω˛∞˘ Ôº˛≠≥‚∂≤„˛˝æ‚  ","Zool - Majou Tsukai Densetsu"
"                                    ",""
" demos und selbst programmierte spiele / demos and homebrewn games    ",""
"                                    ",""
"1964 test rom       ","1964 Demo"
"latest shit         ","3DS Model Conversion"
"77a by count0       ","77a POM '98 Game by Count0"
"77a-se by count0    ","77a SE Game by Count0"
"renderman           ","Alien Style Intro"
"alleycat64          ","Alleycat 64 POM '99 Game"
"pom-wt_riker-atu    ","Analogue Test Utility POM '99"
"ataxx64 by pookae   ","Atax 64 POM '99 Game"
"berney must die!    ","Berney must die ! POM '99 Game"
"bike race by nan    ","Bike Race '98 Game"
"bike race v1.2 nan  ","Bike Race '98 v1.2 Game"
"happy b-day steve   ","Birtday Demo for Steve"
"cd64           v1.08","CD64 Bios v1.08"
"cd64 upgrade ver1.08","CD64 Bios Upgrade v1.08"
"cd64           v1.30","CD64 Bios v1.30"
"cd64 upgrade   v1.23","CD64 Bios Upgrade v1.23"
"cd64 simmtest       ","CD64 SIMM Testutility"
"a horizon64 release ","Chrome Demo enhanced"
"chrome demo         ","Chrome Demo original"
"pom-clif            ","Cliff's little Intro POM '99"
"congrats split!     ","Congratulations Demo for Split"
"dexanoid - protestde","Dexanoid by Protest Design"
"dragonking-crowtrobo","Dragon King Game"
"    dynamix         ","Dynamix Intro"
"dynamix pom readme  ","Dynamix Intro Readme"
"ste-eurasia         ","Eruasia Intro"
"fishy by nan v0.3141","Fish Demo"
"fwintro             ","Freekworld New Intro"
"pd-hs friendship    ","Friendship Intro"
"pom98 gb emu        ","GameBoy Emulator POM '98"
"(c) datel d&d nu10:0","Gameshark Binary"
"gblator ntsc version","Gblator Dr. V64 NTSC Version"
"n64 gameboy em6v+4a","Gblator Dr. V64 PAL Version"
"n64 gameboy emulator","Gblator CD64 Version"
"hardcoded by iceage ","Hard Coded Demo"
"hard                ","Hard POM '99 Demo"
"destop production   ","Heavy 64 Demo"
"hsd quick intro     ","HSD Quick Intro"
"kaboom v0.9  nan    ","Kaboom v0.9 NaN Demo"
"lcars - wt_riker    ","Lcars Demo by WT Riker"
"manic miner 64      ","Manic Miner 64 Game"
"mame-64 beta3       ","Mame 64 Emulator Beta 3"
"mame 64 - 90x arcade","Mame 64 Emulator inkl. 90 Arcade Games"
"manic miner 64      ","Manic Miner 64 Game"
"protest design      ","MeeTing Demo by Renderman"
"mind present / dnx  ","Mind Present Demo POM '98"
"mind present-readme ","Mind Present Demo POM '98 Readme"
"mmr by count0       ","MMR Game By Count0"
"mct by wh           ","Money Creates Taste POM '99 Demo"
"msftug              ","MSFTUG Intro #1"
"n64 stars           ","N64 Stars Demo"
"namp64              ","Namp 64 - N64 MP3-Player"
"nintendo on my mind ","Nintendo On My Mind Demo"
"  nintro64 by split ","Nintro 64 POM '98 Demo"
"tsf - nufan         ","NuFan Demo"
"oerjan78            ","Oerjan Intro POM '99"
"omsk - pong v0.01   ","OMSK Pong v0.01"
"pc-engine 64        ","PC-Engine 64 Emulator"
"pom99 ppp2          ","Pip's Porn Pack 2 POM '99"
"pong                ","Pong Game by Oman"
"pombaer - tsf       ","Pombaer POM '99 Demo"
"ste - pyscodelic    ","Psycodelic POM '98 Demo"
"puzzle master 64    ","Puzzle Master 64"
"r.i.p jay           ","R.I.P. Jay Demo"
"shag-a-delic/camelot","Shag'a'delic Demo"
"trainer intro 6v+4aa","SNES 9X Alpha for Doctor V64 BIOS 1.91"
"trainer intro #2 czn","SNES 9x Emulator"
"soncrap intro       ","SonCrap Golden Eye Intro"
"space rotator       ","Spice Girls Rotator Demo"
"rotating spice girls","Spice Girls Rotator Demo"
" split summer64     ","Split Summer 64 Demo"
"sram manager v2     ","Sram Manager v2.0"
"sram 2              ","Sram Manager v2.0"
"sram 1              ","Sram Manager"
"tc xmas demo '99    ","TC Xmas Demo '99"
"gonzoid amphetamine ","TexLight Demo"
"dl ate my mind - tsf","The Displaylist ate my Mind Demo"
"lfc intro           ","The Lightforce first N64 Intro"
"the nintendo family ","The Nintendo Family Demo"
"obs-y2kd            ","The Y2K Demo"
"tr64 demo by icepir8","TR64 Demo"
"intro by trsi + lfc ","Tristar and Lightforce Quake Intro"
"tron demo           ","Tron Demo"
"twintris            ","Twintris POM '98 Game"
"t-shirt/cml+antihero","T-Shirt Demo POM '98"
"ultra by locke      ","Ultra 1 Demo"
"vector demo         ","Vector Demo POM '98"
